,title,coments,tabcoins,topic
0,DevToolkitapp - Quais ferramentas posso adicionar no meu site?,0,1,0
1,Pitch: meu próprio TabNews,0,1,0
2,Desenvolvimento Web com Django: Construindo Aplicações Poderosas e Escaláveis em Python,0,1,0
3,"Excelente estratégia para ""dotfiles""",0,1,0
4,FUTURO,2,1,0
